,Author,Book,Filename,Year
1509,Various,"Blackwood's Edinburgh Magazine -- Volume 55, No. 340, February, 1844",b'16293-8.txt',1844
1751,Edward Lear,Nonsense Books,b'13650-8.txt',1851
6016,Thomas Perkins,Bell's Cathedrals: The Cathedral Church of Saint Albans,b'19494-8.txt',1903
8542,Susan Glaspell,Plays,b'10623-8.txt',1916
9364,Percy Keese Fitzhugh,Roy Blakeley's Camp on Wheels,b'27272.txt',1920
3145,Georg Ebers,Quotes and Images From The Novels of Georg Ebers,b'7542.txt',1878
298,Samuel Pepys,"Diary of Samuel Pepys, September 1667",b'4180.txt',1667
4986,Various,Many Thoughts of Many Minds,b'17112-8.txt',1896
6940,Mary Roberts Rinehart,When a Man Marries,b'1671.txt',1909
4705,L. Emmett Holt,The Care and Feeding of Children,b'15484-8.txt',1894
6812,A. R. Whitham,The Christian Use of the Psalter,b'33492-8.txt',1909
1339,Honore de Balzac,A Daughter of Eve,b'1481.txt',1839
2745,"James D. McCabe, Jr.","Great Fortunes, and How They Were Made",b'15161-8.txt',1871
1619,William Carleton,The Station; The Party Fight And Funeral; The Lough Derg Pilgrim,b'16013.txt',1849
2580,Lydia Maria Francis Child,A Romance of the Republic,b'10549-8.txt',1867
7901,Bertrand W. Sinclair,North of Fifty-Three,b'19510-8.txt',1914
6496,Theron Brown and Hezekiah Butterworth,The Story of the Hymns and Tunes,b'18444-8.txt',1906
5661,George Moore,Sister Teresa,b'14614-8.txt',1901
9874,Annie Fellows Johnston,The Little Colonel's Hero,b'15122-8.txt',1925
7702,Austin Craig,"Lineage, Life, and Labors of Jose Rizal, Philippine Patriot",b'6867.txt',1913
4053,Andrew Lang,Prince Prigio,b'21935-8.txt',1889
8315,âAbduâl-BahÃ¡,Memorials of the Faithful,b'19279-0.txt',1916
4958,Marion Harland,The Secret of a Happy Home (1896),b'16800-8.txt',1896
5989,Percy Hethrington Fitzgerald,John Forster,b'21815-8.txt',1903
3080,Stephen Crane,Maggie: A Girl of the Streets,b'447.txt',1876
9670,Charles E. Pearce,Madame Flirt,b'18547-8.txt',1922
4414,Ambrose Bierce,Black Beetles in Amber,b'12977-8.txt',1892
2462,Margaret J. Preston,Beechenbrook,b'16480-8.txt',1865
9376,Roy J. Snell,Triple Spies,b'13880.txt',1920
1517,"Arthur Wellesley, Duke of Wellington","Maxims And Opinions Of Field-Marshal His Grace The Duke Of Wellington, Selected From His Writings And Speeches During A Public Life Of More Than Half A Century",b'15254-8.txt',1845
7389,Henri Bergson,Creative Evolution,b'26163-8.txt',1911
9925,George Santayana,Some Turns of Thought in Modern Philosophy,b'16712-8.txt',1933
117,Miguel de Cervantes Saavedra,The Exemplary Novels of Cervantes,b'14420-8.txt',1613
1198,Honore de Balzac,La Grenadiere,b'1428.txt',1832
740,Thomas Paine,"A Letter Addressed to the Abbe Raynal, on the Affairs of North America, in Which the Mistakes in the Abbe's Account of the Revolution of America Are Corrected and Cleared Up",b'15279-8.txt',1792
5244,Stephen Vincent Benet,Young Adventure,b'312.txt',1898
8412,Gertrude Franklin Horn Atherton,Mrs. Balfame,b'39443-8.txt',1916
4397,Various,"Scientific American Supplement, No. 810, July 11, 1891",b'15050-8.txt',1891
8724,Robert L. Drake,The Boy Allies at Jutland,b'10081.txt',1917
1222,Anonymous,"The Dore Gallery of Bible Illustrations, Volume 1",b'8701.txt',1833
8366,Boyd Cable (Ernest Andrew Ewart),Action Front,b'11349-8.txt',1916
2968,Mark Twain,Editorial Wild Oats,b'19484-8.txt',1875
2685,Harry Castlemon,The Boy Trapper,b'18076.txt',1870
9093,J. D. Beresford,The Jervaise Comedy,b'15116-8.txt',1919
5861,William McKinley,Compilation of the Messages and Papers of the Presidents,b'13893-8.txt',1902
5854,Various,A Book of Natural History,b'18274-0.txt',1902
1247,Various,Best Russian Short Stories,b'13437-8.txt',1834
267,Samuel Pepys,"Diary of Samuel Pepys, 1664",b'4153.txt',1664
9892,Ernest Renan,The Life of Jesus,b'16581-8.txt',1927
9311,Henry Kitchell Webster,Mary Wollaston,b'11161-8.txt',1920
3673,Bret Harte,The Queen of the Pirate Isle,b'17168-8.txt',1885
9363,Percy Keese Fitzhugh,"Roy Blakely, Pathfinder",b'19815.txt',1920
3221,Robert Louis Stevenson,The Works of Robert Louis Stevenson - Swanston Edition,b'21686-8.txt',1879
2488,Voltaire,Letters on England,b'2445.txt',1865
9174,Various,"Punch, Volume 156, 26 March 1919",b'11284-8.txt',1919
2438,Anonymous,"The Dore Gallery of Bible Illustrations, Volume 2",b'8702.txt',1865
8116,Alice Henry,The Trade Union Woman,b'11424-8.txt',1915
6222,Various,Poems Every Child Should Know,b'16436-8.txt',1904
9190,Various,"Punch, or the London Charivari, Vol. 156, May 28, 1919.",b'12232-8.txt',1919
931,Alfred Thayer Mahan,Sea Power in its Relations to the War of 1812,b'25911-8.txt',1812
3258,Charles Dudley Warner,The Entire Project Gutenberg Works of Charles Dudley Warner,b'3136.txt',1880
5786,George Washington Cable,Bylow Hill,b'14575.txt',1902
817,James Fenimore Cooper,The Sea Lions,b'10545-8.txt',1800
5287,Charles M. Sheldon,The Crucifixion of Philip Strong,b'18171.txt',1899
5834,Maurice Maeterlinck,The Buried Temple,b'19711-8.txt',1902
2076,Anonymous,"Germany, Turkey, and Armenia",b'49396-8.txt',1858
432,Duc de Saint-Simon,"The Memoirs of Louis XIV., Volume 11",b'3870.txt',1720
9490,E. Phillips Oppenheim,Nobody's Man,b'17356-8.txt',1921
4599,Mark Rutherford,Catharine Furze,b'6023.txt',1893
8571,Algernon Charles Swinburne,"Studies in Song, A Century of Roundels, Sonnets on English Dramatic Poets, The Heptalogia, Etc",b'18782-8.txt',1917
5381,Ralph Connor,The Sky Pilot,b'3248.txt',1899
5183,George Moore,Evelyn Innes,b'13201-8.txt',1898
6867,Frederic W.  Woodhouse,Bell's Cathedrals: The Churches of Coventry,b'11403-8.txt',1909
254,Samuel Pepys,"Diary of Samuel Pepys, May/June 1663",b'4141.txt',1663
4624,"Oliver Wendell Holmes, Sr.","The Poetical Works of Oliver Wendell Holmes, Complete",b'7400.txt',1893
2164,YÃ¡jnavalkya,Hindu Law and Judicature,b'21918-0.txt',1859
4047,Zachary  Taylor Sweeney,The Spirit and the Word,b'15011-8.txt',1888
6539,Carleton Noyes,The Gate of Appreciation,b'27183-8.txt',1907
1738,Anonymous,Aunt Mary's Primer,b'11065.txt',1851
8915,Marion Polk Angellotti,The Firefly Of France,b'3676.txt',1918
8483,Laura Lee Hope,Bunny Brown and His Sister Sue at Camp Rest-A-While,b'17096.txt',1916
4611,Oliver Optic,A Victorious Union,b'18678-8.txt',1893
4766,F. J. Cross,Beneath the Banner,b'10024-8.txt',1895
1977,Hendrik Conscience,The Poor Gentleman,b'13576-8.txt',1856
9318,J. Wells,The Charm of Oxford,b'13245.txt',1920
2573,Harvey Riley,The Mule,b'10878-8.txt',1867
3326,Unknown,The History of Insects,b'10834.txt',1880
3016,Mark Twain (Samuel Clemens),"The Adventures of Tom Sawyer, Part 1.",b'7193.txt',1876
2643,Jules Verne,The Survivors of the Chancellor,b'1652.txt',1869
2309,William Landsborough,Journal of Landsborough's Expedition from Carpentaria,b'16243.txt',1862
3839,Various,Laugh and Play,b'17750.txt',1886
2823,W. F. Butler,The Great Lone Land,b'15401-8.txt',1872
2640,J. T. Crane,Popular Amusements,b'45677-8.txt',1869
6865,Frank V. Webster,The Boy from the Ranch,b'21794.txt',1909
803,Frances Ridley Havergal,Morning Bells,b'11563-8.txt',1800
5229,Mrs. J. Hoodless,Public School Domestic Science,b'18097-8.txt',1898
5211,John Fox,The Little Shepherd of Kingdom Come,b'2059.txt',1898
4604,Mary E. Wilkins Freeman,"Giles Corey, Yeoman",b'17960.txt',1893
2935,Sabine Baring-Gould,"The Lives of the Saints, Volume II (of 16): February",b'45604-8.txt',1874
1047,Thomas Jefferson,"Memoir, Correspondence, And Miscellanies, From The Papers Of Thomas Jefferson",b'16781-8.txt',1820
2348,Various,"The Continental Monthly, Vol. IV. October, 1863, No. IV.",b'16323-8.txt',1863
7179,H. P. Blavatsky,Studies in Occultism; A Series of Reprints from the Writings of H. P. Blavatsky,b'17009-8.txt',1910
4452,Horatio N. Grant,The Highland Fling and How to Teach it.,b'12942.txt',1892
7053,W.W. Jacobs,The Unknown,b'12157.txt',1909
1839,Various,"Chambers's Edinburgh Journal, No. 433",b'18382-8.txt',1852
4711,Marmaduke Pickthall,Oriental Encounters,b'19378-8.txt',1894
7485,Aleister Crowley,Household Gods,b'14040.txt',1912
9155,Sarah Macnaughtan,My War Experiences in Two Continents,b'18364-8.txt',1919
8106,Zane Grey,The Rustlers of Pecos County,b'15580.txt',1914
9306,H. M. Egbert,Jacqueline of Golden River,b'16771-8.txt',1920
1613,Various,"Blackwood's Edinburgh Magazine, Volume 66, No. 408, January 1849",b'45693-8.txt',1849
1072,John Bacchus Dykes,"Eternal Father, Strong to Save",b'17424.txt',1823
9293,Frederick W. Hamilton,Punctuation,b'20787-8.txt',1920
8354,Annie Roe Carr,Nan Sherwood's Winter Holidays,b'12610-8.txt',1916
2431,Anonymous,Simple Simon,b'22891.txt',1865
6437,George Gissing,The House of Cobwebs and Other Stories,b'11603-8.txt',1906
8425,Harold Bindloss,Brandon of the Engineers,b'25923-8.txt',1916
9992,Shoghi Effendi,Messages to the Baha'i World: 1950-1957,b'19280.txt',1950
3946,Sir Arthur Thomas Quiller-Couch,Dead Man's Rock,b'17842.txt',1887
160,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 42",b'5945.txt',1615
7199,Hulbert Footner,Two on the Trail,b'25159-8.txt',1910
8410,George W. Orton,Bob Hunt in Canada,b'19853.txt',1916
746,Honore de Balzac,An Episode Under the Terror,b'1456.txt',1793
530,Richard Walter,Anson's Voyage Round the World,b'16611.txt',1749
2228,Edward Burnett Tylor,Anahuac,b'13115-8.txt',1861
1872,L. Maria Child,Isaac T. Hopper,b'11859.txt',1853
975, ,Beowulf,b'16328-8.txt',1815
717,ThÃ©odore Licquet,"Rouen, It's History and Monuments",b'18740-0.txt',1789
9317,J. S. Fletcher,Dead Men's Money,b'12239.txt',1920
4866,William Dean Howells,My Literary Passions,b'3378.txt',1895
2867,Samuel Smiles,The Huguenots in France,b'26524-8.txt',1873
1223,Anonymous,"The Dore Gallery of Bible Illustrations, Complete",b'8710.txt',1833
336,,,b'8.txt',1680
1126,Sir Walter Scott,"Rob Roy, Volume 1., Illustrated",b'7023.txt',1829
7355,Friedrich Nietzsche,"We Philologists, Volume 8 (of 18)",b'18267-8.txt',1911
10061,Titus Livius,"The History of Rome, Books 01 to 08",b'19725-0.txt',1960
4171,Horatio Alger,Paul Prescott's Charge,b'293.txt',1890
576,David Hume,"The History of England in Three Volumes, Vol.I., Part D.",b'19214-8.txt',1762
6018,Various,The Night Before Christmas and Other Popular Stories For Children,b'13213.txt',1903
4993,Walter Germain,The Complete Bachelor,b'25950-0.txt',1896
3949,The Seybert Commission,Preliminary Report of the Commission Appointed by the University,b'11950-8.txt',1887
1529,William Carleton,Going To Maynooth,b'16016.txt',1845
4752,Charles E. Bennett,New Latin Grammar,b'15665-0.txt',1895
4821,Louise Manly,Southern Literature From 1579-1895,b'27279-8.txt',1895
8908,Lord Dunsany,The Sword of Welleran and Other Stories,b'10806-8.txt',1918
3622,Mrs. E. R. Pitman,Elizabeth Fry,b'16606-8.txt',1884
585,Elizabeth Moxon,English Housewifery Exemplified,b'10072.txt',1764
7992,John Symonds,"Sketches and Studies in Italy and Greece, Complete",b'18893-8.txt',1914
1039,Dawson Turner,"Account of a Tour in Normandy, Vol. I. (of 2)",b'12537-8.txt',1820
8102,William MacLeod Raine,A Daughter of the Dons,b'15542-8.txt',1914
6508,Zane Grey,The Spirit of the Border,b'1239.txt',1906
167,"Marguerite de Valois, Queen of Navarre","The Memoirs of Marguerite de Valois, Volume II.",b'3839.txt',1618
2700,Mark Twain (Samuel Clemens),"Sketches New and Old, Part 7.",b'5842.txt',1870
2351,Various,"The Continental Monthly, Vol III, Issue VI, June, 1863",b'19156-8.txt',1863
9455,Adam S. Bennion,Principles of Teaching,b'17307.txt',1921
9519,Harvey Fergusson,The Blood of the Conquerors,b'20888-0.txt',1921
6157,Jerome K. Jerome,The Cost of Kindness,b'866.txt',1904
5547,Prescott Holmes,Young Peoples' History of the War with Spain,b'17993-8.txt',1900
2925,R.M. Ballantyne,The Ocean and its Wonders,b'21754.txt',1874
8174,Frank V. Webster,The Boy Scouts of Lenox,b'21842.txt',1915
8022,Members of the Oxford Faculty of Modern History,"Why We Are At War (2nd Edition, revised)",b'10809-8.txt',1914
7748,Ethel Watts Mumford,Out of the Ashes,b'13273-8.txt',1913
8018,Mary King Waddington,"My First Years As A Frenchwoman, 1876-1879",b'10003.txt',1914
2694,John Hay,Poems,b'10518-8.txt',1870
8951,Sidney Watson,The Mark of the Beast,b'18815.txt',1918
211,Francois Rabelais,"Gargantua and Pantagruel, Complete.",b'1200.txt',1653
4547,Andrew Murray,'Jesus Himself',b'26003.txt',1893
7016,W.W. Jacobs,Over The Side,b'11186.txt',1909
6066,Winston Churchill,"The Celebrity, Volume 2",b'5384.txt',1903
105,,,b'shakespeare-romeo-48.txt',1597
3770,Henry M. Brooks,"The Olden Time Series, Vol. 5: Some Strange and Curious Punishments",b'16419-8.txt',1886
6831,Arthur Thomas Quiller-Couch,True Tilda,b'12316.txt',1909
5567,Sophie May,"Jimmy, Lucy, and All",b'14608.txt',1900
711,Watkin Tench,A Narrative of the Expedition to Botany Bay,b'3535.txt',1788
2008,Anthony Trollope,Barchester Towers,b'3409-8.txt',1857
225,Samuel Pepys,"Diary of Samuel Pepys, February 1659/1660",b'4119.txt',1659
4553,Charles Morris,"Historic Tales, Vol. 1 (of 15)",b'16298-8.txt',1893
4453,Ida B. Wells-Barnett,Southern Horrors,b'14975.txt',1892
3633,"Rudyard Kipling, Ella D'Arcy, Arthur Morrison, Arthur Conan Doyle,",Victorian Short Stories of Troubled Marriages,b'15466-8.txt',1884
10074,Rick Raphael,Code Three,b'19111.txt',1963
3907,George Moore,A Mere Accident,b'11733-8.txt',1887
4881,Bill Nye,Comic History of England,b'11138-8.txt',1896
6764,Mary Roberts Rinehart,The Circular Staircase,b'434.txt',1908
10087,Gordon Randall Garrett,Hail to the Chief,b'26109.txt',1972
8897,Johnny Gruelle,Raggedy Ann Stories,b'18190.txt',1918
407,Nicola Francesco Haym,Amadigi di Gaula,b'17440-8.txt',1715
8544,T. R. Glover,The Jesus of History,b'13335-8.txt',1916
5752,Arthur Jerome Eddy,Two Thousand Miles On An Automobile,b'12380-8.txt',1902
7900,Auguste Vimar,The Curly-Haired Hen,b'13302-8.txt',1914
7801,James Carson,The Saddle Boys of the Rockies,b'19120.txt',1913
5965,Lady Augusta Gregory and Others,Poets and Dreamers,b'18070-8.txt',1903
7585,John Lingard and Hilaire Belloc,The History of England from the First Invasion by the Romans,b'10700-8.txt',1912
1482,Various,"Blackwood's Edinburgh Magazine, Volume 54, No. 337, November, 1843",b'16607-8.txt',1843
816,James Fenimore Cooper,Wyandotte,b'10434-8.txt',1800
6707,George Barr McCutcheon,The Husbands of Edith,b'16719-8.txt',1908
6442,Geronimo,Geronimo's Story of His Life,b'31318-8.txt',1906
2250,O. Henry,Options,b'1583-8.txt',1861
7272,Sun Tzu,The Art of War,b'132.txt',1910
203,,,b'4.txt',1643
9438,Vicente Blasco Ibañez,Woman Triumphant,b'18876-8.txt',1920
4321,Mary Baker Eddy,Rudimental Divine Science,b'12321.txt',1891
8364,Bliss Perry,Fishing with a Worm,b'16369.txt',1916
4297,Harry De Windt,A Ride to India across Persia and Baluchistán,b'10974-8.txt',1891
7958,H. Rider Haggard,The Wanderer's Necklace,b'3097-8.txt',1914
5195,Henry James,The Turn of the Screw,b'209.txt',1898
6483,Owen Wister,Lady Baltimore,b'1386.txt',1906
2528,Elizabeth von Arnim,The Princess Priscilla's Fortnight,b'13141-8.txt',1866
3089,C. L. Hunter,"Sketches of Western North Carolina, Historical and Biographical",b'12953-8.txt',1877
6083,Alexis Thomson and Alexander Miles,Manual of Surgery,b'17921-0.txt',1904
10056,Fredric Brown,Earthmen Bearing Gifts,b'26521.txt',1960
6230,Agnes Rush Burr,Russell H. Conwell,b'11421-8.txt',1905
2624,,Caxton's Book of Curtesye,b'14761-8.txt',1868
8035,Richard Harding Davis,With the Allies,b'11730-8.txt',1914
5607,A. T. Mahan,Types of Naval Officers,b'18314-8.txt',1901
7124,David Grayson,Adventures In Friendship,b'10592-8.txt',1910
9678,Committee Of The Board Of Health,Venereal Diseases in New Zealand (1922),b'15352-0.txt',1922
1700,Various,"Notes & Queries, No. 53. Saturday, November 2, 1850",b'13540-8.txt',1850
1493,Honore de Balzac,Cousin Pons,b'1856.txt',1844
5914,Evelyn Snead Barnett,Jerry's Reward,b'20862-8.txt',1903
5076,Mary E. Wilkins Freeman,"Jerome, A Poor Man",b'17886.txt',1897
4948,John Kendrick Bangs,The Bicyclers and Three Other Farces,b'11759.txt',1896
9836,Tenney Frank,Vergil,b'10960-8.txt',1922
3911,H. L. Mencken,In Defense of Women,b'1270.txt',1887
1065,Thomas De Quincey,Confessions of an English Opium-Eater,b'2040.txt',1822
3852,Various,"The Modern Scottish Minstrel, Volume IV.",b'19525-8.txt',1886
6025,William Eleroy Curtis,Modern India,b'11212-8.txt',1903
257,Samuel Pepys,"Diary of Samuel Pepys, November/December 1663",b'4144.txt',1663
1505,Various,"Blackwood's Edinburgh Magazine, No. CCCXLII. Vol. LV. April, 1844",b'13633-8.txt',1844
7253,Mrs. Humphry Ward,"Lady Merton, Colonist",b'13823-8.txt',1910
747,William O. S. Gilly,Narratives of Shipwrecks of the Royal Navy; between 1793 and 1849,b'15301-8.txt',1793
4108,Various,"American Missionary, Volume 43, No. 2, February, 1889",b'16084-8.txt',1889
5705,Owen Wister,Mother,b'1387.txt',1901
5116,Various,"The Great Round World and What Is Going On In It, Vol. 1, No. 42, August 26, 1897",b'15919-8.txt',1897
10004,Henry Hasse,One Purple Hope!,b'31307.txt',1952
8822,Alfred Hopkinson,Rebuilding Britain,b'14870-8.txt',1918
3590,Claude Fayette Bragdon,Four-Dimensional Vistas,b'11906-8.txt',1884
6059,Winston Churchill,"A Modern Chronicle, Volume 3",b'5376.txt',1903
9224,Agnes Rothery,The Old Coast Road,b'21895-8.txt',1920
9298,George O'Brien,An Essay on Mediaeval Economic Teaching,b'13488-8.txt',1920
594,The Earl of Chesterfield,"Letters to His Son, 1766-1771",b'3360.txt',1766
2242,Kamehameha IV,Speeches of His Majesty Kamehameha IV. To the Hawaiian Legislature,b'26501.txt',1861
10075,Terry Gene Carr,Warlord of Kor,b'17958-8.txt',1963
9639,,Beowulf,b'16328.txt',1921
4328,Mrs. Sutherland Orr,Life and Letters of Robert Browning,b'655.txt',1891
7337,Eleanor H. Porter,Miss Billy,b'3266.txt',1911
6054,Winston Churchill,"Richard Carvel, Volume 6",b'5370.txt',1903
6536,Booth Tarkington,His Own People,b'2326.txt',1907
8243,Ontario Ministry of Education,Ontario Teachers' Manuals: History,b'17268-8.txt',1915
9445,Willa Cather,Youth and the Bright Medusa,b'13555-8.txt',1920
9724,Freeman Wills Crofts,The Pit Prop Syndicate,b'2013.txt',1922
8815,Winston Churchill,"The Dwelling Place of Light, Volume 1",b'3646.txt',1917
619,James Cook,A Voyage Towards the South Pole and Round the World Volume 2,b'15869-8.txt',1772
7738,Elinore Pruitt Stewart,Letters of a Woman Homesteader,b'16623-8.txt',1913
448,Jacques Casanova de Seingalt,To Paris And Prison: Venice,b'2957.txt',1725
2827,Benjamin Lumley (AKA Hermes),Another World,b'16503-8.txt',1873
5378,Maurus Jokai,The Poor Plutocrats,b'18705.txt',1899
812,Honore de Balzac,Vendetta,b'1374.txt',1800
5528,Lord Byron,"The Works Of Lord Byron, Vol. 3 (of 7)",b'21811-0.txt',1900
581,Emanuel Swedenborg,Heaven and its Wonders and Hell,b'17368.txt',1763
262,Samuel Pepys,"Diary of Samuel Pepys, April/May 1664",b'4148.txt',1664
8839,Carter G. Woodson,A Century of Negro Migration,b'10968-8.txt',1918
5590,William Dean Howells,Literary Friends And Acquaintances,b'4201.txt',1900
828,Miss Mulock--Pseudonym of Maria Dinah Craik,The Little Lame Prince,b'496.txt',1800
1129,Thomas Frognall Dibdin,"A Bibliographical, Antiquarian and Picturesque Tour in France and Germany, Volume Two",b'17107-8.txt',1829
7965,Henri Bergson,The Meaning of the War,b'17111-8.txt',1914
4559,Emile Zola,Doctor Pascal,b'10720.txt',1893
5066,Joseph Conrad,The Nigger Of The Narcissus,b'17731-8.txt',1897
3192,Caroline Augusta Frazer,Atma,b'17183.txt',1879
8419,H. G. Wells,What is Coming?,b'11289-8.txt',1916
5317,G. A. Henty,The Golden Canyon,b'11609-8.txt',1899
3823,Various,Folk Tales from the Russian,b'12851.txt',1886
31,Erasmus,"Colloquies of Erasmus, Volume I.",b'14031-8.txt',1515
8241,Mary Roberts Rinehart,"Kings, Queens And Pawns",b'14457-8.txt',1915
2873,Various,Lippincott's Magazine of Popular Literature and Science,b'13145-8.txt',1873
2841,Henry Coppee,"English Literature, Considered as an Interpreter of English History",b'15176-0.txt',1873
598,"Elizabeth-Charlotte, Duchesse d'Orleans","The Memoirs of Louis XIV. and the Regency, Book I.",b'3855.txt',1767
8469,Joseph A. Altsheler,The Shades of the Wilderness,b'12532.txt',1916
7587,John Muir,The Story of My Boyhood and Youth,b'18359-8.txt',1912
1899,Henry James,A Small Boy and Others,b'26115-8.txt',1854
2924,Pindar,The Extant Odes of Pindar,b'10717-8.txt',1874
8292,Victor Appleton,Tom Swift and his Aerial Warship,b'1281.txt',1915
4516,Various,"Punch, Or The London Charivari, Vol. 103, August 6, 1892",b'15026-8.txt',1892
6892,Henry Baerlein,The Diwan of Abu'l-Ala,b'13086-0.txt',1909
8553,Various,"Trees, Fruits and Flowers of Minnesota, 1916",b'18183-8.txt',1916
708,Edmund Burke,"The Works of the Right Honourable Edmund Burke, Vol. X. (of 12)",b'18192-8.txt',1788
6551,Edith Wharton,The Fruit of the Tree,b'19191-0.txt',1907
2418,Anonymous,An Englishwoman's Love-Letters,b'15941-8.txt',1865
3956,Various,"Scientific American Supplement, No. 586, March 26, 1887",b'11736-8.txt',1887
8694,Leona Dalrymple,Kenny,b'16040-8.txt',1917
1649,James Richardson,"Narrative of a Mission to Central Africa Performed in the Years 1850-51, Volume 2",b'18544-0.txt',1850
7666,Trans. by Francis Augustus MacNutt,"De Orbe Novo, Volume 1 (of 2)",b'12425-8.txt',1912
9116,Lassa Oppenheim,The League of Nations and its Problems,b'26023-8.txt',1919
